,AAPL,GOOGL,TSLA,MSFT,AMZN,META,NVDA,JPM,AAPL_Return,GOOGL_Return,TSLA_Return,MSFT_Return,AMZN_Return,META_Return,NVDA_Return,JPM_Return,AAPL_Vol,GOOGL_Vol,TSLA_Vol,MSFT_Vol,AMZN_Vol,META_Vol,NVDA_Vol,JPM_Vol
2021-01-04,129.99999999999997,1800.0000000000005,699.9999999999998,220.00000000000009,3200.0000000000027,279.9999999999999,499.99999999999983,149.99999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.018,0.035,0.016,0.022,0.025,0.03,0.015
2021-01-05,131.33600182303647,1799.5458642606259,695.374178865579,216.08699474013432,3351.325691960491,284.68606668632964,512.9341939429441,151.53124310953226,0.010224488417341275,-0.00025232946538785946,-0.0066302474998702595,-0.0179464663250402,0.04620518669467641,0.016597449581086422,0.025539461606051812,0.010156534737113797,0.018973665961010275,0.017076299364909245,0.03320391543176798,0.015178932768808221,0.020871032557111303,0.023717082451262847,0.028460498941515415,0.014230249470757707
2021-01-06,131.1046300818471,1817.2694211094624,677.4781607139741,209.1448880234332,3292.234149853234,278.6680554308249,517.4890810362919,152.26404040285496,-0.001763231550345383,0.009800720976106262,-0.026072770417765383,-0.032653824113967035,-0.017789589285034213,-0.02136574474272339,0.008840865441905115,0.004824292899468119,0.01853863599376858,0.016299986212382676,0.031797704748714656,0.01606957834024808,0.026779056959188936,0.023533408165616512,0.028910890938693836,0.014141190886199433
2021-01-07,132.72755099827518,1820.7692864764927,681.986323610636,208.9349353280839,3435.5807247969956,271.33422804391495,537.3522134387733,152.46157404825487,0.012302831141583011,0.001924040246972208,0.00663228715978307,-0.0010043666365693199,0.04261956524604788,-0.02666993321947238,0.037665344983692194,0.0012964691099181347,0.017759818902020975,0.0161046502652748,0.03214566262216055,0.019802169396724707,0.025875948993965787,0.023958950251905583,0.027756005244982937,0.013637070581357373
2021-01-08,136.47358067304438,1837.3295203470554,748.6717323665322,208.5029836881755,3476.4090709394927,269.12027900182534,537.7451329052561,151.98742707849044,0.027832509245162007,0.009054073098477118,0.0932910086172928,-0.002069537885281451,0.011813912407466353,-0.00819296128506447,0.0007309468027494365,-0.0031147900065635814,0.0177491656722453,0.01550622770902865,0.030915578359132948,0.018424224355569556,0.029266292733022663,0.025068263570265426,0.03031696544244985,0.013096865275923242
2021-01-11,135.93816124298002,1812.7373621387235,762.4279550402218,207.47597597269086,3526.513007943164,265.4981565560708,525.1313165281338,152.20523526570443,-0.003930962121975443,-0.013475112164534855,0.018207405921563058,-0.004937796868455383,0.014309681417469407,-0.013550516136822061,-0.023736359221184188,0.001432041277773353,0.020204543827588708,0.015396457844656456,0.04682520935936669,0.017257000971845664,0.02746903695479099,0.02398547399855634,0.028729337921282246,0.01269557369961261
2021-01-12,135.43652641773193,1818.8637905560095,752.7606323002769,204.11095307964897,3375.99902904247,264.2536872503603,522.5271707439838,153.17780402353645,-0.003696994741289998,0.003373957640952891,-0.012760726952183898,-0.016351820886771923,-0.04361827715854222,-0.0046983190695096926,-0.004971374124574401,0.0063695223431686964,0.019206684839019546,0.015788525216334993,0.043889709839525066,0.016355443794680256,0.02612955109295525,0.023458150896532297,0.028893115067049197,0.012318672192368112
2021-01-13,139.53295232376283,1781.2370433749786,782.5982187301437,200.28848472453808,3360.994361420197,255.95310616660882,501.4884353426578,153.7418805414424,0.029797699895075552,-0.02090392412108506,0.0388721418091696,-0.018904982759222515,-0.004454418035653885,-0.03191532963319413,-0.04109643690901177,0.0036757313484694124,0.018362122957923672,0.015281674035586494,0.0410849209161998,0.016724465322506325,0.029664555745829026,0.022495310735782714,0.027596319731536114,0.012246851427956392
2021-01-14,141.918358951486,1779.141843602233,799.1258413349473,202.0553495606575,3288.7162981382835,262.2690490857901,484.9024745444061,154.50912816678104,0.016951164559129955,-0.0011769533980042959,0.020898998225149873,0.008782916716916812,-0.02173956539269197,0.02437663309898894,-0.033632759697912074,0.004978080772562571,0.02104565241262608,0.016875122388087943,0.04122539378437934,0.017406204302717707,0.02748390383630703,0.02490219757207891,0.030863944322989462,0.012021436938264416
2021-01-15,140.64414449591652,1754.6057662181468,813.2552181056764,200.34413233154493,3364.8106012074613,270.0402645934432,500.8124348282288,157.06251734116023,-0.00901905296997359,-0.01388694066545954,0.017526549787447117,-0.008505118030560923,0.022874370882296803,0.029200194241206335,0.03228386210229596,0.016390749134936104,0.020914991880588065,0.016137645038403793,0.03934007744227173,0.016719799714434477,0.026899503370623173,0.025450512594474214,0.03196468091617214,0.01190920442662977
